metric_key,value,fiscal_year,fiscal_period,currency,section,date
open_price,309.63,2026,FY,USD,Market Data,2026-06-01
high_price,310.94,2026,FY,USD,Market Data,2026-06-01
low_price,305.02,2026,FY,USD,Market Data,2026-06-01
close_price,306.31,2026,FY,USD,Market Data,2026-06-01
trading_volume,48849900,2026,FY,USD,Market Data,2026-06-01
open_price,307.46,2026,FY,USD,Market Data,2026-06-02
high_price,315.45,2026,FY,USD,Market Data,2026-06-02
low_price,306.69,2026,FY,USD,Market Data,2026-06-02
close_price,315.2,2026,FY,USD,Market Data,2026-06-02
trading_volume,44534700,2026,FY,USD,Market Data,2026-06-02
open_price,314.18,2026,FY,USD,Market Data,2026-06-03
high_price,316.94,2026,FY,USD,Market Data,2026-06-03
low_price,308.85,2026,FY,USD,Market Data,2026-06-03
close_price,310.26,2026,FY,USD,Market Data,2026-06-03
trading_volume,50836700,2026,FY,USD,Market Data,2026-06-03
open_price,313.23,2026,FY,USD,Market Data,2026-06-04
high_price,313.54,2026,FY,USD,Market Data,2026-06-04
low_price,309.65,2026,FY,USD,Market Data,2026-06-04
close_price,311.23,2026,FY,USD,Market Data,2026-06-04
trading_volume,44869100,2026,FY,USD,Market Data,2026-06-04
open_price,312.86,2026,FY,USD,Market Data,2026-06-05
high_price,315.17,2026,FY,USD,Market Data,2026-06-05
low_price,307.15,2026,FY,USD,Market Data,2026-06-05
close_price,307.34,2026,FY,USD,Market Data,2026-06-05
trading_volume,65310500,2026,FY,USD,Market Data,2026-06-05
open_price,308.74,2026,FY,USD,Market Data,2026-06-08
high_price,317.4,2026,FY,USD,Market Data,2026-06-08
low_price,301.17,2026,FY,USD,Market Data,2026-06-08
close_price,301.54,2026,FY,USD,Market Data,2026-06-08
trading_volume,77949100,2026,FY,USD,Market Data,2026-06-08
open_price,300.28,2026,FY,USD,Market Data,2026-06-09
high_price,300.75,2026,FY,USD,Market Data,2026-06-09
low_price,287.78,2026,FY,USD,Market Data,2026-06-09
close_price,290.55,2026,FY,USD,Market Data,2026-06-09
trading_volume,70108800,2026,FY,USD,Market Data,2026-06-09
open_price,290.74,2026,FY,USD,Market Data,2026-06-10
high_price,294.75,2026,FY,USD,Market Data,2026-06-10
low_price,287.38,2026,FY,USD,Market Data,2026-06-10
close_price,291.58,2026,FY,USD,Market Data,2026-06-10
trading_volume,52793300,2026,FY,USD,Market Data,2026-06-10
open_price,293.72,2026,FY,USD,Market Data,2026-06-11
high_price,297.0,2026,FY,USD,Market Data,2026-06-11
low_price,289.59,2026,FY,USD,Market Data,2026-06-11
close_price,295.63,2026,FY,USD,Market Data,2026-06-11
trading_volume,42572500,2026,FY,USD,Market Data,2026-06-11
